MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
365.41,C21H20FN3O2,365.41,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccc(F)cc1,ChemDiv SC,8561,,,"propan-2-yl 4-(4-fluorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739250
377.44,C22H23N3O3,377.44,COc1ccc(cc1)C1C(C(=O)OC(C)C)=C(C)Nc2nc3ccccc3n12,ChemDiv SC,8016,,,"propan-2-yl 4-(4-methoxyphenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739254
375.47,C23H25N3O2,375.47,CCc1ccc(cc1)C1C(C(=O)OC(C)C)=C(C)Nc2nc3ccccc3n12,ChemDiv SC,8525,,,"propan-2-yl 4-(4-ethylphenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739258
361.44,C22H23N3O2,361.44,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(C)c1,ChemDiv SC,8525,,,"propan-2-yl 2-methyl-4-(3-methylphenyl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739262
381.86,C21H20ClN3O2,381.86,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(Cl)c1,ChemDiv SC,8525,,,"propan-2-yl 4-(3-chlorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739264
365.41,C21H20FN3O2,365.41,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(F)c1,ChemDiv SC,8525,,,"propan-2-yl 4-(3-fluorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739266
377.44,C22H23N3O3,377.44,COc1cccc(c1)C1C(C(=O)OC(C)C)=C(C)Nc2nc3ccccc3n12,ChemDiv SC,8525,,,"propan-2-yl 4-(3-methoxyphenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739268
361.44,C22H23N3O2,361.44,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1C,ChemDiv SC,8525,,,"propan-2-yl 2-methyl-4-(2-methylphenyl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739272
381.86,C21H20ClN3O2,381.86,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1Cl,ChemDiv SC,8525,,,"propan-2-yl 4-(2-chlorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739274
347.42,C21H21N3O2,347.42,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1,ChemDiv SC,8525,,,"propan-2-yl 2-methyl-4-phenyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739294
383.4,C21H19F2N3O2,383.4,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cc(F)cc(F)c1,ChemDiv SC,8525,,,"propan-2-yl 4-(3,5-difluorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739298
364.4,C20H20N4O3,364.4,COCCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccncc1,ChemDiv SC,8525,,,"2-methoxyethyl 2-methyl-4-(pyridin-4-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739308
