experiment,batch,plate_id,well.name,treatment_type,Stimulant,Stimulant dose,Stimulant unit,Treatment,Treatment concentration,Treatment unit,Treatment 2,Treatment 2 concentration,Treatment 2 unit,obj.Mean(area).um2.meas,dmso_median_raw,fsk_2_5uM_median_raw,normalized_cyst_swelling_pct
compound_exploration,4042,2,E04,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1644.316,1639.897,3101.911,0.3022542875786481
compound_exploration,4042,2,E05,treatment,FSK,2.5,uM,DMSO,0.1,pct,CPA,0.1,uM,2800.196,1639.897,3101.911,79.36305671491517
compound_exploration,4042,2,E06,treatment,FSK,2.5,uM,DMSO,0.1,pct,CPA,0.1,uM,2940.857,1639.897,3101.911,88.98410001545813
compound_exploration,4042,2,E07,treatment,FSK,2.5,uM,DPCPX,0.1,uM,DMSO,0.1,pct,3302.477,1639.897,3101.911,113.71847328411354
compound_exploration,4042,2,E08,treatment,FSK,2.5,uM,DPCPX,0.1,uM,DMSO,0.1,pct,3178.797,1639.897,3101.911,105.25890996939837
compound_exploration,4042,2,E09,treatment,FSK,2.5,uM,DPCPX,0.1,uM,CPA,1.0,uM,3028.673,1639.897,3101.911,94.99060884505892
compound_exploration,4042,2,E10,treatment,FSK,2.5,uM,DPCPX,0.1,uM,CPA,1.0,uM,3095.054,1639.897,3101.911,99.53098944332955
compound_exploration,4042,2,E11,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2272.313,1639.897,3101.911,43.25649412385929
compound_exploration,4042,2,E12,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2384.657,1639.897,3101.911,50.94068866645601
compound_exploration,4042,2,E13,stim_only,FSK,2.5,uM,DMSO,0.1,pct,DMSO,0.1,pct,3236.846,1639.897,3101.911,109.22939178421
compound_exploration,4042,2,E14,stim_only,FSK,2.5,uM,DMSO,0.1,pct,DMSO,0.1,pct,3080.784,1639.897,3101.911,98.55493859839919
