"batch.code","well.name","plate.layout.info.Type","plate.layout.info.Stimulant","plate.layout.info.Stimulant dose","plate.layout.info.Stimulant unit","plate.layout.info.Stimulation solvent","plate.layout.info.Treatment","plate.layout.info.Treatment concentration","plate.layout.info.Treatment unit","plate.layout.info.Treatment solvent","plate.layout.info.Treatment 2","plate.layout.info.Treatment 2 concentration","plate.layout.info.Treatment 2 unit","plate.layout.info.Treatment 2 solvent","ID","obj.Mean(area).um2.meas","obj.Mean(area).meas.npi_plate","Fraction_dead_cells","increase_death_cells_pct","obj.count_corrected.meas"
"4042","I19","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2812.204,79.46567975733396,0.166,-4.250000000000001,788
"4042","I20","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2586.733,64.56408091018072,0.171,-3.7500000000000004,821
"4042","I21","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1642.611,2.1674268500519225,0.212,0.34999999999999754,948
"4042","I22","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1619.546,0.6433125432219453,0.218,0.9499999999999981,852
"4042","J03","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1547.393,-4.1256453061454,0.193,-1.5500000000000014,972
"4042","J04","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1652.883,2.8465152923448676,0.186,-2.2500000000000018,941
"4042","J05","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3117.519,99.64380974542463,0.173,-3.5500000000000034,842
"4042","J06","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3105.443,98.84619457295739,0.17,-3.8500000000000005,804
"4042","J07","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2600.673,65.48580054130112,0.176,-3.2500000000000027,786
"4042","J08","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2532.829,61.00200406041204,0.167,-4.150000000000001,846
"4042","J09","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3199.375,105.05420636985312,0.179,-2.950000000000003,783
"4042","J10","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3218.431,106.31337857394043,0.173,-3.5500000000000034,801
"4042","J11","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2505.374,59.18715065662502,0.175,-3.350000000000003,847
"4042","J12","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2388.824,51.48430762741296,0.179,-2.950000000000003,834
"4042","J13","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3045.837,94.90622661875052,0.193,-1.5500000000000014,808
"4042","J14","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3010.36,92.56218622553808,0.182,-2.650000000000002,794
"4042","J15","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2482.672,57.68674169582992,0.178,-3.0500000000000025,794
"4042","J16","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2671.405,70.16063422258884,0.203,-0.5500000000000005,727
"4042","J17","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3276.234,110.13342536585324,0.311,10.249999999999998,777
"4042","J18","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3233.228,107.29157270590864,0.174,-3.450000000000003,811
"4042","J19","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2844.568,81.60473862895077,0.183,-2.5500000000000025,803
"4042","J20","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2793.682,78.24136835623905,0.181,-2.7500000000000027,792
"4042","J21","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1664.157,3.5911420442636364,0.23,2.149999999999999,895
"4042","J22","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1540.452,-4.58441347352607,0.209,0.04999999999999727,924
"4042","K03","ref_ctrl","FSK",2.5,"uM","0.1pctDMSO","rapamycin",0.03,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2287.738,44.80358334193959,0.177,-3.150000000000003,815
"4042","K04","ref_ctrl","FSK",2.5,"uM","0.1pctDMSO","rapamycin",0.03,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2254.608,42.614324914013665,0.195,-1.3500000000000012,873
"4042","K05","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",0.1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3394.795,117.96943666249649,0.176,-3.2500000000000027,789
"4042","K06","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",0.1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3109.506,99.11462275599925,0.186,-2.2500000000000018,823
"4042","K07","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",0.1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2427.69,54.05354880795663,0.163,-4.550000000000002,854
"4042","K08","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",0.1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2669.363,70.02537430697815,0.178,-3.0500000000000025,768
"4042","K09","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",0.1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3174.621,103.41784027738743,0.181,-2.7500000000000027,794
